,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
325,331,Otto Loewi,1873-06-03,{'1936'},{'medicine'},male,Württemberg
326,332,Albert Szent-Györgyi,1893-09-16,{'1937'},{'medicine'},male,Hungary
327,333,Corneille Heymans,1892-03-28,{'1938'},{'medicine'},male,Belgium
328,334,Gerhard Domagk,1895-10-30,{'1939'},{'medicine'},male,Prussia
329,335,Henrik Dam,1895-02-21,{'1943'},{'medicine'},male,Faroe Islands (Denmark)
330,336,Edward A. Doisy,1893-11-13,{'1943'},{'medicine'},male,USA
331,337,Joseph Erlanger,1874-01-05,{'1944'},{'medicine'},male,USA
332,338,Herbert S. Gasser,1888-07-05,{'1944'},{'medicine'},male,USA
333,339,Sir Alexander Fleming,1881-08-06,{'1945'},{'medicine'},male,United Kingdom
334,340,Ernst B. Chain,1906-06-19,{'1945'},{'medicine'},male,Württemberg
335,341,Sir Howard Florey,1898-09-24,{'1945'},{'medicine'},male,Australia
336,342,Hermann J. Muller,1890-12-21,{'1946'},{'medicine'},male,USA
337,343,Carl Cori,1896-12-05,{'1947'},{'medicine'},male,Hungarian Empire
338,344,Gerty Cori,1896-08-15,{'1947'},{'medicine'},female,Hungarian Empire
339,345,Bernardo Houssay,1887-04-10,{'1947'},{'medicine'},male,Argentina
340,346,Paul Müller,1899-01-12,{'1948'},{'medicine'},male,Switzerland
341,347,Walter Hess,1881-03-17,{'1949'},{'medicine'},male,Switzerland
342,348,Egas Moniz,1874-11-29,{'1949'},{'medicine'},male,Portugal
343,349,Edward C. Kendall,1886-03-08,{'1950'},{'medicine'},male,USA
344,350,Tadeus Reichstein,1897-07-20,{'1950'},{'medicine'},male,Prussia
345,351,Philip S. Hench,1896-02-28,{'1950'},{'medicine'},male,USA
346,352,Max Theiler,1899-01-30,{'1951'},{'medicine'},male,Union of South Africa
347,353,Selman A. Waksman,1888-07-22,{'1952'},{'medicine'},male,Ukraine
348,354,Hans Krebs,1900-08-25,{'1953'},{'medicine'},male,Württemberg
